,name,type,actors,hot_index,desp
0,  长津湖 , 类型：全部 , 演员：段奕宏、易烊千玺 ,300002, 1950年，中国志愿军部队与美军在朝鲜长津湖地区交战，中国人民志愿军第9兵团将美军1个多师分割包围于长津湖地区，歼敌1.3万余人，扭转了战场态势。这次战役收复了三八线以北的东部广大地区，是扭转局势的关键一战，而中国人民志愿军也付出了惨痛的牺牲，在零下三十多摄氏度的极端天气中，很多先烈是以端着枪的姿势被冻僵，体现了志愿军战士服从命令视死如归、冻成冰雕也不退缩的革命精神。  查看更多>  
1,  沙丘 , 类型：剧情 , 演员：Lior Ashkenazi、Guy Marchand ,44159, 故事讲述的是一名以色列的男青年在和女友分手后为了疗情伤来到巴黎，然后在这认识了一位即将退休的侦探，故事由此展开...  查看更多>  
2,  我和我的祖国 , 类型：剧情 , 演员：黄渤、张译 ,20631, 《前夜》1949年10月1日中华人民共和国成立前夕，为保障开国大典国旗顺利升起，电动旗杆设计安装者林治远（黄渤饰）争分夺秒排除万难，用一个惊心动魄的未眠之夜确保立国大事“万无一失”，而护旗手老方（耿乐饰）等千千万万参与开国大典的工作人员和人民群众齐心协力，攻克了一个又一个难题，终于保障五星红旗顺利飘扬在天安门广场上空。《相遇》1964年，由于原子弹研发工作保密度极高，同事之间也互不知姓名，在国防科  查看更多>  
3,  我和我的父辈 , 类型：剧情 , 演员：徐峥、吴京 ,20566, 讲述不同历史时期、各个代表性阶层群体不忘初心、砥砺前行的奋斗历程，以家庭关系为载体，反映时代的变迁和民族精神的传承延续。《乘风》影片取材于抗日战争时期一支战功卓著的铁骑队伍——冀中骑兵团，他们为保护群众撤离，拼死抵抗日军，电影描绘了一组骑兵团与冀中人民共同抗击日寇侵略的军民群像。《诗》以1969年我国研制长征一号火箭、发射首颗人造卫星为背景，以一个普通航天家庭为切口，展现父母一辈艰苦奋斗、无私奉献  查看更多>  
4,  怒火·重案 , 类型：动作 , 演员：秦岚、甄子丹 ,18332, 重案组布网围剿国际毒枭，突然杀出一组蒙面悍匪“黑吃黑”，更冷血屠杀众警察。重案组督察张崇邦（甄子丹饰）亲睹战友被杀，深入追查发现，悍匪首领竟是昔日战友邱刚敖（谢霆锋饰）。原来敖也曾是警队“明日之星”，而将敖推向罪恶深渊的人，却正是邦。宿命令二人再次纠缠，一切恩怨张崇邦如何作出了断。  查看更多>  
5,  中国医生 , 类型：剧情 , 演员：朱亚文、袁泉 ,14628, 该片根据新冠肺炎疫情防控斗争的真实事件改编，以武汉“封城”期间的金银潭医院为核心故事背景，同时兼顾武汉同济医院、武汉市肺科医院、武汉协和医院、武汉大学人民医院（湖北省人民医院）、火神山医院、方舱医院等兄弟单位，以武汉医护人员、全国各省市援鄂医疗队为人物原型，全景式记录波澜壮阔、艰苦卓绝的抗疫斗争。  查看更多>  
6,  你好李焕英 , 类型：剧情 , 演员：张小斐、贾玲 ,12502, 2001年的某一天，刚刚考上大学的贾晓玲（贾玲 饰）经历了人生中的一次大起大落。一心想要成为母亲骄傲的她却因母亲突遭严重意外而悲痛万分。在贾晓玲情绪崩溃的状态下，竟意外的回到了1981年，并与年轻的母亲李焕英（张小斐 饰）相遇，二人形影不离，宛如闺蜜。与此同时，贾晓玲也结识了一群天真善良的好朋友。贾晓玲以为来到了这片“广阔天地”，她可以凭借自己超前的思维，让母亲“大有作为”，但结果却让贾晓玲感到意  查看更多>  
7,  金刚川 , 类型：剧情 , 演员：李九霄、张译 ,10411, 1953年，抗美援朝战争进入最终阶段，志愿军战士要在第一时间赶往金城参加最后一场大型战役，如果没能及时赶到，对战况的影响可想而知。志愿军战士们要通过一条名为金刚川的川流，才能继续赶往金城。志愿军工兵连修建了一条木桥，可供战士们通过。但是，美军也知道只要阻止志愿军通过金刚川，自己就能在金城大战中有更大的优势，于是配备着榴弹炮、延时炸弹、燃烧弹以及多发子弹的轰炸机、战斗机不断轰炸木桥与志愿军战士们，而  查看更多>  
8,  动物世界 , 类型：剧情、动作 , 演员：迈克尔·道格拉斯、李易峰 ,7755, 郑开司（李易峰饰）因被朋友欺骗而背负上数百万的债务，面对重病的母亲和痴心等待的青梅竹马刘青（周冬雨饰），他决心登上“命运号”游轮，改变自己一事无成的人生。只要能在渡轮上的游戏中获胜，他就将有机会将债务一笔勾销，并给家人带来更好的生活。这场游戏看似简单，参与者只需以标着“石头，剪刀，布”的扑克为道具，赢取对手身上的星星标志。但游轮上的亡命徒们毫无底线的欺诈争夺，却让人性的自私与残酷暴露无遗，局中局、  查看更多>  
9,  失控玩家 , 类型：剧情、科幻 , 演员：瑞安·雷诺兹、乔·基瑞 ,7490, 银行职员盖（瑞安·雷诺兹饰）发现自己原来是一个冒险电子游戏的背景角色，但他不想平庸，竟然在游戏里做起了伸张正义的好人，导致开发商下令要关闭游戏，一名女玩家（朱迪·科默饰）要帮他绝地大反击。  查看更多>  
